18;Pemasangan Flowmeter Drainase Jalan A dan N;Non RKAP;2101048268;;;jasa;08/05/2020;Izin Prinsip / persetujuan;28/09/2020;MA 3;OM 60 & NBM;"Pihak Manufacture yang direkomendasikan EIIE (Endress Hauser) perlu melakukan site survey sebelum dapat mengirimkan Quotation kepada Pertamina, site survey terkendala karena alasan PSBB-covid";21/09/2020;;;;;Tyffani Meirnadias;08/05/2020;#REF!;#REF!;28/09/2020;;;;;;;
19;Penyehatan Inst. & Elect. Substandard UTL RFCC;RKAP;2101057041;;;jasa;02/10/2020;Penyusunan RKS & RAB;15/09/2020;MA 5;UTILITIES RFCC;Menunggu Notif NOPR;02/10/2020;;;;;Tyffani Meirnadias;02/10/2020;#REF!;#REF!;15/09/2020;;;;;;;
20;Retrofit Control System Pneumix 101-A-525B Area RFCC RUIV Cilacap;Non RKAP;;;;jasa;29/09/2020;Penyusunan RKS & RAB;04/10/2020;MA 6;RFCC;Menunggu Notifikasi Pekerjaan;04/10/2020;;;;;Tyffani Meirnadias;29/09/2020;#REF!;#REF!;04/10/2020;;;;;;;
21;"Managemen Data Engineering dan Monitoring Pekerjaan Pemeliharaan Equipment Stasionary, Rotating Listrik dan Instrument di Area PT PERTAMINA (PERSERO) RU IV Cilacap";Non RKAP;;;;jasa;10/02/2020;Sourcing;02/10/2020;P&S;MPS;Perpanjang kontrak Volume Asisten Planner dan Tenaga Expert P&S untuk tahun 2021;02/10/2020;;;;;Tyffani Meirnadias;10/02/2020;#REF!;#REF!;02/10/2020;;;;;;;
22;Penggantian Surge Protection Device Area Utilities RFCC;Non RKAP;1101015751;8301077498;500025760;jasa;30/09/2020;Penerbitan SP3MK;30/09/2020;MA 5;UTILITIES RFCC;;;;Ramadhan Budianto;PT Jesfindo Mitra Pratama;;Dwi Hizzki Hanisa;30/09/2020;30/09/2020;30/09/2020;30/09/2020;30/09/2020;30/09/2020;30/09/2020;30/09/2020;30/09/2020;30/09/2020;
23;TSA ATG Tikyo Keiso Area RFCC dan GTO;RKAP;;;800001820;jasa;01/09/2020;Pre bid meeting;01/09/2020;MA 7;"RFCC, GTO";Fiksasi lingkup pekerjaan penyehatan oleh engineer;21/09/2020;;Ramadhan Budianto;PT Multi Kedona Teknik;;Dwi Hizzki Hanisa;01/09/2020;01/09/2020;01/09/2020;01/09/2020;01/09/2020;01/09/2020;;;;;
24;Perbaikan Anti Surge Controller DPAC 156K-502 A/B UTL RFCC;RKAP;2101040486;8201024971;500023242;jasa;01/08/2020;Sourcing;01/08/2020;MA 5;UTILITIES RFCC;"Vendor tidak menyanggupi lingkup pekerjaan sesuai yang ditawarakn, engineer belum memberi rekomendasi lebih lanjut.";21/09/2020;;-;-;;Dwi Hizzki Hanisa;01/08/2020;;;;;;;;;;
25;Penggantian Sensor COD SPARING Holding Basin;Non RKAP;2101048850;8201028541;500025217;jasa;01/09/2020;;01/09/2020;MA 3;OM 60 & NBM;"Tidak tercapainya kesepakatan dengan harga vendor, rencana penarikan paket dan perubahan lingkup";22/09/2020;;D.C Mirmaningktyas;PT Chemviro Buana Indonesia;;Dwi Hizzki Hanisa;01/09/2020;;;;;;;;;;
26;"Pengadaan Remote Monitoring DCS dengan Experion e-Server Area FOC II, RFCC, dan LNHT ISOM";Non RKAP;1101015897;;;jasa;28/09/2020;Penunjukan Pemenang;28/09/2020;EIIE;"FOC II, RFCC, GTO";;;;;PT Vania Amicitia;;Dwi Hizzki Hanisa;28/09/2020;28/09/2020;28/09/2020;28/09/2020;28/09/2020;28/09/2020;28/09/2020;28/09/2020;28/09/2020;;
27;Pengadaan Field Device Manager Honeywell KPC;Non RKAP;1101015759;;;jasa;28/09/2020;Penunjukan Pemenang;28/09/2020;MA 4;PARAXYLENE;;;;;PT Vania Amicitia;;Dwi Hizzki Hanisa;28/09/2020;28/09/2020;28/09/2020;28/09/2020;28/09/2020;28/09/2020;28/09/2020;28/09/2020;28/09/2020;;
28;TSA Alat Lab X-Ray Rigaku ZSX Primus;RKAP;;;;jasa;11/09/2020;Sourcing;11/09/2020;Workshop;LABORATORY;Vendor belum memberikan penawaran harga;11/09/2020;;;PT Lab Sistematika Indonesia;;Dwi Hizzki Hanisa;11/09/2020;;;;;;;;;;
29;Pemasangan Shut Off Valve di 520B-301 dan Perbaikan 104XV-045B/046B;RKAP;1101005544;8301049416;8301049416;jasa;21/09/2020;Approval HPS OE;21/09/2020;MA 5;"UTILITIES RFCC, RFCC";Menunggu klarifikasi engineer terkait perbedaan spek material di memo rekomendasi dan KAK terakhir. Notulen rapat pembahasan perubahan material tersebut tidak ada;21/09/2020;;Dhika Noor Fadila;PT Contromatic Prima Mandiri;;Dwi Hizzki Hanisa;21/09/2020;21/09/2020;21/09/2020;21/09/2020;21/09/2020;21/09/2020;21/09/2020;;;;
30;Perbaikan Timbangan Asphalt Drum Plant Oil OM NBM;;;;;jasa;11/08/2020;Penyusunan RKS & RAB;11/08/2020;MA 3;OM 60 & NBM;"Menunggu rekomendasi SSIE untuk perbaikan pelat dan pondasi, sesuai permintaan memo rekomendasi EIIE";17/08/2020;;;;;Dwi Hizzki Hanisa;11/08/2020;11/08/2020;11/08/2020;;;;;;;;
31;TSA Pemeliharaan 2 Unit Continuous Emission Monitoring System (CEMS) di Area SRU dan Utilities 50;RKAP;;;;jasa;30/08/2020;;30/08/2020;MA 5;"SRU, UTILITIES 50";;;;;;;Dwi Hizzki Hanisa;30/08/2020;;;;;;;;;;
32;Pemasangan 9 Unit ATG Radar Area OM;RKAP;1101006009;8301037686;8301037686;jasa;15/07/2020;Sourcing;15/07/2020;MA 3;OM 60 & NBM;Peserta tender belum mengirimkan penawaran harga;31/08/2020;;Mugi Nurdini;;;Dwi Hizzki Hanisa;15/07/2020;;;;;;;;;;
33;Pemasangan CO Detector di CO Boiler 101F-503 RFCC;RKAP;2101035207;8201019731;8201019731;jasa;06/10/2020;Pre bid meeting;06/10/2020;MA 6;RFCC;;;;Mugi Nurdini;;;Dwi Hizzki Hanisa;06/10/2020;06/10/2020;06/10/2020;06/10/2020;06/10/2020;06/10/2020;;;;;
34;Pengadaan Desuperheater dan Instrumentasi di Letdown HHP-HP Steam System Area Utilities RFCC;MOC;1101016786;8301083292;8301083292;jasa;30/09/2020;Pengajuan Proses Tender;30/09/2020;MA 5;UTILITIES RFCC;;;;;;;Dwi Hizzki Hanisa;30/09/2020;30/09/2020;30/09/2020;30/09/2020;30/09/2020;;;;;;
35;TSA Online Analyzer OEM Teledyne;RKAP;;;;jasa;25/09/2020;Pre bid meeting;25/09/2020;MA 6;"LOC II, LOC III, PARAXYLENE, UTILITIES RFCC, RFCC";;;;Dhika Noor Fadila;;;Dwi Hizzki Hanisa;25/09/2020;25/09/2020;25/09/2020;25/09/2020;25/09/2020;25/09/2020;;;;;
36;TSA Sulfur Analyzer Malvern Panalytical;RKAP;;;;jasa;28/09/2020;Sourcing;28/09/2020;Workshop;LABORATORY;;;;;;;Dwi Hizzki Hanisa;28/09/2020;;;;;;;;;;
37;Pembuatan Landmark di Unit 101 RFCC;Non RKAP;2101054664;8201031146;500026511;Jasa;27/07/2020;Pre Bid Meeting;08/10/2020;MA 6;RFCC;Menunggu Aanwijzing;;;Mugi Nurdini;;;Nurul Komari;27/07/2020;#REF!;#REF!;#REF!;#REF!;08/10/2020;;;;;
